Brand,Product_Name,Retail_Price,Discounted_Price,Discount
Ray-Ban,RB7047,,176,
Ray-Ban,RB6335,,210,
,,,,
Oakley,Airdrop,,227,
Ray-Ban,RB3447V Round Metal,,210,
Oakley,Socket 5.5,,227,
Oakley,Holbrook RX,,187,
Oakley,Stagebeam,199,99.50,50% Off
Oakley,Port Bow,,187,
Oakley,Hex Jector (TruBridge),,187,
Ray-Ban,RB7217 Chad Optics Bio-Based,,189,
Oakley,Pitchman R Carbon - Alternate Fit,,297,
Ray-Ban,RB5445,,186,
Ray-Ban,RB6647,,210,
Ray-Ban,RB5344D,261,130.50,50% Off
Ray-Ban,RB5154 Clubmaster,,222,
Kate Spade,Hermione/G,230,161,30% Off
Dolce & Gabbana,DG5101,,288,
Gucci,GG1340O,305,259.25,15% Off
Versace,VE3373U,,316,
Versace,VE1175B,,316,
Michael Kors,MK4098BU,204,102,50% Off
Swarovski,SK2018,,261,
Vogue,VO5668F,,119,
Ray-Ban,RB7025,,210,
Oakley,Pitchman,,276,
Ray-Ban Meta Gen 2,RW4012 | Meta Wayfarer (Gen 2),,459,
,,,,
Polo,PH2083,,201,
Ray-Ban,RB6355,,237,
Ray-Ban,RB7066,,176,
Oakley,Hyperlink,,187,
Oakley,Pitchman - Alternate Fit,,255,
Ray-Ban,RB7074,,176,
Oakley,Hyperlink - Alternate Fit,,187,
Oakley,Crosslink Zero,,187,
Oakley,Plank 2.0,,187,
Oakley,Pitchman R,,255,
Oakley,Wingfold EVR,,318,
Oakley,Wingfold EVS,,318,
Oakley,Crosslink Zero - Alternate Fit,,187,
Ray-Ban,RB3547V Oval,,210,
Ray-Ban,RB6363,,210,
Oakley,Limit Switch,,318,
Oakley,Socket 5,,227,
Oakley,Marshal MNP (TruBridge),,242,
Ray-Ban,RB5198,277,193.90,30% Off
Ray-Ban,RB8416,,276,
Ray-Ban,RB8903,,276,
Oakley,Trillbe X,,172,
Ray-Ban,RB6396,,222,
Ray-Ban,RB6397,178,89,50% Off
,,,,
Ray-Ban,RB6489,,210,
Ray-Ban,RB8953,223,111.50,50% Off
Ray-Ban,RB8954,223,156.10,30% Off
Oakley,Limit Switch 0.5,,318,
Oakley,Gauge 3.1,318,222.60,30% Off
Oakley,Crosslink Youth - Alternate Fit,172,137.60,20% Off
Ray-Ban,RB4340V Wayfarer Ease,,210,
Ray-Ban,RB6375,,189,
Oakley,Surface Plate,,318,
Oakley,Gauge 3.2 Blade,,318,
Oakley,Gauge 7.2 Arch (TruBridge),213,106.50,50% Off
Oakley,Fuller,,242,
Oakley,Pommel,228,159.60,30% Off
Ray-Ban,RB3582V Round Metal II,,210,
Ray-Ban,RB7159,,222,
Ray-Ban,RB8955,223,111.50,50% Off
Oakley,Sunder,280,196,30% Off
Oakley,Base Plane,,255,
Oakley,Chamfer Squared (TruBridge),,242,
Oakley,Crosslink Fit - Alternate Fit,,276,
Ray-Ban,RB5362,,237,
Ray-Ban,RB6414,,189,
Ray-Ban,RB7144,,249,
Ray-Ban,RB8755,,317,
,,,,
Ray-Ban,RB6421,,210,
Ray-Ban,RB7153,143,71.50,50% Off
Ray-Ban,RB8757,263,184.10,30% Off
Oakley,Cathode,,227,
Oakley,Latch TI,353,176.50,50% Off
Oakley,Cartridge,,318,
Oakley,Litebeam (Trubridge),,187,
Oakley,Pitchman R Carbon,,297,
Ray-Ban,RB3947V - Round Gaze,,210,
Oakley,Diecutter RX,199,99.50,50% Off
Ray-Ban,RB5387,,176,
Ray-Ban,RB6428,,210,
Ray-Ban,RB5296D,,220,
Ray-Ban,RB3648V The Marshal,,222,
Ray-Ban,RB6434,,210,
Oakley,Metalink,,255,
Oakley,Plungeline,,187,
Oakley,Alias,,187,
Ray-Ban,RB1971V Icons,179,89.50,50% Off
Ray-Ban,RB3716VM Clubmaster Metal,,237,
Ray-Ban,RB5375,,222,
Ray-Ban,RB6441,,210,
Oakley,Top Spinner 4B,,172,
,,,,
Oakley,Tie Bar 0.5,,387,
Ray-Ban,RB5383,,222,
Ray-Ban,RB5383F - Alternate Fit,191,133.70,30% Off
Ray-Ban,RB6448,,210,
Ray-Ban,RB1969V,177,88.50,50% Off
Ray-Ban,RB3857V Frank,,210,
Ray-Ban,RB7177,,176,
Oakley,Wheel House,,242,
Oakley,Wingback Sq,,318,
Ray-Ban,RB3447VM,,210,
Ray-Ban,RB7144M,,290,
Ray-Ban,RB8416M,,237,
Ray-Ban,RB5393,,188,
Oakley,Activate - Alternate Fit,,215,
